uname,mid,level,sex,send_time,like,is_sub,text
大魔导士比比,195524815,5,保密,2021-04-24 20:39:23,1,True,回复 @-克蕾尔- :华为这么黑特斯拉，到时候死的会更惨
-克蕾尔-,294728284,6,保密,2021-04-24 20:54:03,11,True,回复 @大魔导士比比 :特斯拉这种垃圾电瓶车还不值得华为黑它，当然啦，和你这种可能连特斯拉都没买的精神股东也没必要说啥[呲牙]
临时扫地僧,5763326,5,保密,2021-04-25 13:49:33,6,True,回复 @大魔导士比比 :特屎拉算个寄吧，先刹车停住再说
梦见蓝星,408686278,5,男,2021-05-02 13:29:24,0,True,回复 @大魔导士比比 :你死的会更惨
双目连,12261310,4,保密,2021-05-03 17:08:06,0,True,回复 @大魔导士比比 :管这么干嘛，先把特斯拉冲了[歪嘴]
一式景一,472127609,5,保密,2021-05-03 20:53:32,0,True,"回复 @大魔导士比比 :特斯拉根本不用华为黑,我关注的某个吃了米粉的UP都黑特斯拉。"
大魔导士比比,195524815,5,保密,2021-05-05 19:36:10,0,True,回复 @一式景一 :特斯拉做了十多年车，华为系统一开卖就刹车失灵了，前几年怎么不失灵？是国产零件零件不过关还是上海工人不行？
bili_17935316001,521482530,4,保密,2021-05-13 02:36:56,0,True,回复 @大魔导士比比 :但是那女的入场券，是未来给的。
血夜不是血液,2965300,6,保密,2021-05-14 01:42:55,0,True,回复 @大魔导士比比 :笑死。是好早以前就有啦
顾--晨,59852437,5,男,2021-04-19 16:42:29,769,False,"华为:给你们两个选择
1用我的整体解决方案。
2我自己造车。[OK]"
小西豆哥哥,11311082,6,男,2021-04-19 20:16:35,305,True,"华为:给你两个选择
1.用我的方案，大家一起赚钱
2.我自己造车，把大家全杀了[吃瓜]"
_容我想想_,492027468,5,男,2021-04-20 02:45:56,0,True,车联网[吃瓜]
bili_37452170094,600367165,4,男,2021-04-20 23:41:45,5,True,回复 @小西豆哥哥 :会说话
William-Afton,111534466,6,保密,2021-04-21 16:55:02,10,True,回复 @小西豆哥哥 :会说话多说点[脱单doge]
平安乃琳,3366602,6,保密,2021-04-21 22:58:33,0,True,回复 @小西豆哥哥 :低情商[滑稽]
90611697453_bili,349887751,5,保密,2021-04-22 00:27:16,6,True,麒麟汽车怎样
育碧莫斯科Ubisoft,271455909,5,保密,2021-04-22 18:31:14,0,True,谁赞成，谁反对[doge]
小孩子只讲对错,478810587,5,男,2021-04-23 09:17:06,0,True,瞎扯淡，华为自己不造车
这位请冷静,501891658,5,保密,2021-04-24 10:08:20,1,True,回复 @育碧中国Ubisfot :我赞成
育碧莫斯科Ubisoft,271455909,5,保密,2021-04-24 13:39:52,2,True,回复 @没有空蝉的运气 :我也赞成。。。我们都赞成
不要未来,17108369,6,男,2021-04-25 11:35:26,5,True,特斯拉是挣钱，华为挣的是未来
Nicolas丶富贵,43714425,5,保密,2021-04-25 17:50:06,1,True,文艺范：我花开后百花杀。[OK]
没有设置一,325659305,5,保密,2021-04-25 23:32:10,0,True,回复 @小西豆哥哥 :哈哈哈
69921674226_bili,384130391,5,保密,2021-04-28 17:26:53,5,True,回复 @小西豆哥哥 :华为不会自己做的，因为造车不赚钱，做系统的才赚钱，车企就是打工的。
